Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Lat","Lon"
"The Nose","2. Southwest Face > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105924807/the-nose,4.0,-1,"Trad, Aid","5.9 C2",31,3000,37.73051,-119.63828
Flyboys,"Goat Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/113665378/flyboys,3.2,-1,Sport,5.9,18,1800,48.62285,-120.44865
"Snake Dike","3. Southwest Face > D. Half Dome > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105836362/snake-dike,3.6,-1,Trad,"5.7 R",8,2000,37.73971,-119.54003
"Regular Northwest Face of Half Dome","1. Northwest Face > D. Half Dome > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105912416/regular-northwest-face-of-half-dome,3.9,-1,"Trad, Aid","5.9 C1",23,2200,37.74685,-119.5336
Epinephrine,"Black Velvet Wall > 16-Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732422/epinephrine,3.9,-1,Trad,5.9,13,1600,36.03518,-115.46652
"Exum Ridge","Grand Teton > Grand Teton National Park > Wyoming",https://www.mountainproject.com/route/105933562/exum-ridge,3.7,-1,"Trad, Alpine",5.5,6,1700,43.74092,-110.80253
"Southeast Buttress","Southeast Slopes > Cathedral Peak > Cathedral Range > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/105835705/southeast-buttress,3.8,-1,"Trad, Alpine",5.6,5,700,37.84736,-119.4045
"High Exposure","i. High E > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105798994/high-exposure,3.8,-1,Trad,5.6,2,250,41.74421,-74.179
"Casual Route","The Diamond > Long's Peak > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/105748496/casual-route,3.8,-1,"Trad, Alpine",5.10a,7,,40.25617,-105.61384
"The Moonlight Buttress (Free)","Moonlight Buttress > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/106138026/the-moonlight-buttress-free,3.9,-1,Trad,5.12c,10,1200,37.27785,-112.94955
Beckey-Chouinard,"South Howser Tower > Howser Towers > The Bugaboos > Purcell Mountains > Columbia Mountains > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105872592/beckey-chouinard,4.0,-1,"Trad, Alpine",5.10,15,2000,50.7273,-116.8086
"Salathe Wall","2. Southwest Face > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106154042/salathe-wall,4.0,-1,"Trad, Aid","5.9 C2",35,3500,37.73051,-119.63828
"East Ridge","Wolfs Head > Cirque of the Towers > Wind River Range > Wyoming",https://www.mountainproject.com/route/105848762/east-ridge,3.9,-1,"Trad, Alpine",5.6,10,1000,42.7802,-109.233
Astroman,"I. Washington Column > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105845493/astroman,4.0,-1,Trad,5.11c,10,1000,37.74778,-119.559
"Matthes Crest Traverse - South to North","Matthes Crest > Cathedral Range > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106008982/matthes-crest-traverse-south-to-north,3.9,-1,"Trad, Alpine",5.7,1,2500,37.8186,-119.3992
"Positive Vibrations","Incredible Hulk > 02 - The Sawtooth Ridge > High Sierra > California",https://www.mountainproject.com/route/105860676/positive-vibrations,4.0,-1,"Trad, Alpine",5.11a,12,1200,38.12188,-119.41522
"The Original Route","The Rainbow Wall > 11-Juniper Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732410/the-original-route,4.0,-1,Trad,5.12-,14,1000,36.11139,-115.49615
"Corrugation Corner","Main Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105872293/corrugation-corner,3.9,-1,Trad,5.7,3,300,38.80006,-120.13522
"Moby Grape","4. Moby Grape Area > *Cannon Cliff > New Hampshire",https://www.mountainproject.com/route/105884815/moby-grape,3.8,-1,"Trad, Alpine","5.8 PG13",7,800,44.15838,-71.6846
"The Naked Edge","Redgarden - Tower Two > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105748786/the-naked-edge,3.9,-1,Trad,5.11b,6,460,39.9312,-105.28518
"The Moonlight Buttress (Clean Aid)","Moonlight Buttress > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/105717718/the-moonlight-buttress-clean-aid,3.8,-1,"Trad, Aid","5.8 C1",10,1200,37.27785,-112.94955
"Stolen Chimney","Ancient Art > Fisher Towers > Southeast Utah > Utah",https://www.mountainproject.com/route/105717310/stolen-chimney,3.7,-1,"Trad, Aid","5.10 A0",4,,38.72161,-109.30434
"Lower Exum Ridge","Grand Teton > Grand Teton National Park > Wyoming",https://www.mountainproject.com/route/105839153/lower-exum-ridge,3.9,-1,"Trad, Alpine",5.7,6,800,43.74092,-110.80253
"The North Face","Ba. The Rostrum > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105863822/the-north-face,4.0,-1,Trad,5.11c,8,700,37.71868,-119.70788
"Sons of Yesterday","Western Royal Arches > Royal Arches > H. Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862915/sons-of-yesterday,3.9,-1,Trad,5.10-,6,600,37.74873,-119.57265
"Time Wave Zero","Timewave Buttress > El Potrero Chico > Nuevo Leon > Mexico > North America > International",https://www.mountainproject.com/route/106087605/time-wave-zero,3.8,-1,Sport,5.12a,23,2300,25.9474,-100.47958
"The Grand Wall","Grand Wall Area > The Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105806397/the-grand-wall,3.9,-1,"Trad, Aid","5.11a A0",9,1000,49.68218,-123.14798
"Separate Reality","Ak. Wildcat Falls & Above the Cookie > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105874590/separate-reality,4.0,-1,Trad,5.12a,1,50,37.7202,-119.71946
Archangel,"Lost Angel > Upper Dream Canyon > Boulder > Colorado",https://www.mountainproject.com/route/108240564/archangel,3.9,-1,Sport,5.12c,2,100,40.0089,-105.41
Rewritten,"Redgarden - Lumpe to the top > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105750106/rewritten,3.7,-1,Trad,5.7,6,650,39.93228,-105.28671
"The Yellow Spur","Redgarden - Tower One > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105748657/the-yellow-spur,3.8,-1,Trad,5.9+,6,,39.93194,-105.28603
